#{"t_start": 1743315582.1523337, "env_id": "None"}
r,l,t,reward,mastery_gain,engagement,cog_load,motivation,eff_difficulty,miscon_formed,miscon_cleared
1493.703691,250,10919.513925,7.487116255055221,0.15110526968499724,1.1512897,0.05,0.99,0.55466855,False,False
2622.620163,250,10921.98309,6.9379513050828985,0.1398246799655052,1.1079478,0.05,0.99,0.23619984,False,False
2500.958231,250,10924.398873,6.901927201501689,0.1418578936370395,1.1467533,0.18547809,0.99,0.47142646,False,False
1609.539629,250,10926.827912,7.894503113661752,0.1580723928802246,1.1345584,0.05,0.99,0.28256354,False,False
2606.256978,250,10929.262008,5.517104847210865,0.11050320186484716,1.1153309,0.050063144,0.99,0.5168303,False,False
2528.271534,250,10931.694307,12.507044614395186,0.2497460201668751,1.1521399,0.105003096,0.99,0.24381416,False,False
2705.038526,250,10934.169619,11.206889902488419,0.22851640875246054,1.1258161,0.12685224,0.99,0.32599422,False,False
1486.622279,250,10936.642699,9.205057732146106,0.16017434428475544,1.1509188,0.05,0.99,0.5416783,False,True
2576.305123,250,10995.151666,2.7432251799286917,0.05664766793167893,1.1435738,0.05,0.99,0.26680428,False,False
2002.643712,250,10997.595906,8.633748513421802,0.17283473386773496,1.1589282,0.05,0.99,0.24102381,False,False
3683.436174,250,11000.006275,12.268567388434326,0.2471349194590075,1.1313096,0.05,0.99,0.080560036,False,False
1834.669482,250,11002.422855,5.411186649639962,0.11343008357779796,1.1647218,0.05,0.99,0.35697478,False,False
2044.51527,250,11004.879084,5.373732064499609,0.1135101365819405,1.1779917,0.05,0.99,0.17107162,False,False
1468.770252,250,11007.338843,3.9786256696102202,0.08097939404987729,1.1500226,0.05,0.99,0.15606555,False,False
1985.917361,250,11009.742851,8.636288176338663,0.17285356303867902,1.1588278,0.05,0.99,0.27588785,False,False
1653.271446,250,11021.4516,5.7608054967200335,0.1206478991347066,1.1594229,0.05,0.99,0.44095367,False,False
2558.555264,250,11023.890409,10.803572176892994,0.21560573749213915,1.1519494,0.110449955,0.99,0.31074113,False,False
2402.98625,250,11083.46155,4.835172080698777,0.10513589045888519,1.1584917,0.05,0.99,0.05,False,False
3220.094016,250,11085.928568,6.810313310006516,0.13701703454691683,1.1289387,0.05,0.99,0.31090593,False,False
1570.676367,250,11088.598757,7.004891976053889,0.1452622567832855,1.1366596,0.05,0.99,0.27884826,False,False
635.778047,250,11091.127596,0.9733175245664692,0.026626373310173396,0.11751567,0.98,0.99,0.26442677,False,False
1507.855336,250,11093.729945,4.967549907436527,0.10136428007107091,1.1448627,0.05,0.99,0.05,False,False
1627.505053,250,11096.208654,8.120965671441928,0.1680427267564729,1.1655799,0.05,0.99,0.45537066,False,False
2635.112935,250,11098.640654,3.189169367142428,0.0639481252524338,1.1844769,0.05,0.99,0.48467183,False,False
2508.119343,250,11101.046849,12.409136964573085,0.24792060348964348,1.1545497,0.08906037,0.99,0.3368317,False,False
1547.892593,250,11160.084367,2.1178547034454303,0.0445138660896658,0.99742216,0.071160614,0.99,0.5970181,False,False
309.583532,250,11162.533903,-0.33422786367500834,0.0067672681324551474,-0.075832635,0.98,0.2,0.39702448,False,False
2664.328066,250,11164.965141,1.1875820940227315,0.02572530020459068,0.8130026,0.05,0.9886752,0.1970237,False,False
1966.958136,250,11167.435261,8.433517499715567,0.17514491217316153,1.1584775,0.05,0.99,0.49710074,False,False
2089.242229,250,11169.887327,5.663021874931182,0.11335292145465979,1.1787231,0.05,0.99,0.37863,False,False
2530.448066,250,11172.326803,12.321046739070225,0.25153103316114545,1.1581628,0.05,0.99,0.25842023,False,False
1528.124533,250,11174.750443,4.678880708453397,0.09900055222863634,1.1350669,0.05,0.99,0.2747743,False,False
1537.721599,250,11177.204715,4.3158357309291295,0.08872128739931093,1.15759,0.05,0.99,0.59204537,False,False
2364.218596,250,11236.231815,8.392808237585253,0.16908737621611014,1.1580173,0.05,0.99,0.16315897,False,False
2967.055001,250,11238.667339,13.287841327557883,0.271072343927819,1.1774622,0.05,0.99,0.21749297,False,False
2081.349674,250,11241.128546,5.775170031317827,0.11658838178055994,1.1720964,0.05,0.99,0.16905534,False,False
3703.369364,250,11243.58514,15.003823782811049,0.3003425510824866,1.1313915,0.05,0.99,0.4207443,False,False
3011.786732,250,11246.042915,16.914957384966073,0.33838857959872154,1.1747499,0.05,0.99,0.2656538,False,False
3549.025618,250,11248.523611,8.798988935442532,0.1775572853362911,1.1288314,0.05,0.99,0.21273056,False,False
2440.782058,250,11250.974931,9.991611631231788,0.20496242226882716,1.1588244,0.05,0.99,0.31085062,False,False
2591.459017,250,11253.41623,7.13510786964477,0.14280820562931135,1.1601878,0.05,0.99,0.4484492,False,False
3182.335183,250,11322.268564,7.934844708996951,0.16074105093574403,1.1286077,0.05,0.99,0.13325801,False,False
3246.542329,250,11324.703842,7.441246182764577,0.14903715669718895,1.1330792,0.05,0.99,0.42450964,False,False
1530.835427,250,11327.143929,7.230804451749112,0.14986261315055957,1.1207933,0.05,0.99,0.291163,False,False
1557.38686,250,11329.61943,6.785854060367147,0.14161939766914447,1.1226612,0.05,0.99,0.056228448,False,False
2041.656267,250,11332.094182,7.984355895405078,0.1601412529269867,1.1827533,0.05,0.99,0.20505649,False,False
1941.207299,250,11334.569242,13.49957887786234,0.27037182099602713,1.1758845,0.07984786,0.99,0.3971195,False,False
1950.944241,250,11337.036622,3.933488903101765,0.08694684735827611,1.1597507,0.05,0.99,0.05,False,False
2956.547176,250,11339.514291,3.675811449181435,0.08088741504214998,1.1368015,0.05,0.99,0.18477096,False,False
3408.71675,250,11398.409899,6.884451506462563,0.14449190191858746,1.1312091,0.05,0.99,0.20412712,False,False
1974.526548,250,11400.849209,5.154753106928006,0.10993024001789362,1.1928326,0.05,0.99,0.075323895,False,False
3555.125324,250,11403.34565,23.011043505090395,0.46046756952954665,1.1272289,0.05,0.99,0.29234934,False,False
2835.254538,250,11405.767131,20.19120278960833,0.40398880256794273,1.1350576,0.05,0.99,0.18408571,False,False
3457.311989,250,11408.211299,17.499977123953933,0.35016192513208033,1.1288047,0.05,0.99,0.31209508,False,False
1817.847268,250,11410.671403,7.187692626652821,0.15006899597997872,1.1724169,0.05,0.99,0.05,False,False
1987.506831,250,11413.123905,0.6771633331672767,0.020581667370664913,0.81774706,0.05,0.98024434,0.2970288,False,False
